name,number,year,extraction_annual,extraction_cumulative,transfers_in_annual,transfers_in_cumulative,expenses_annual,balance,transfers_out,distribution,city_admin_costs,finance_costs,bank,finance_costs_2,bank_2,url,creation,expiration
Montclare,102,2019,333541,5170449,-,-,286552,807043,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_102_MontclareAR19.pdf,8/30/2000,12/31/2024
Montrose/Clarendon,173,2019,198248,1284696,-,-,5552,1314309,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_173_MontroseClarendonAR19.pdf,6/30/2010,12/31/2034
Near North,030,2019,32435777,324944503,-,3546644,3308171,104925148,15767000,-,389590.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_030_NearNorthAR19.pdf,7/30/1997,7/30/2020
North Branch North,033,2019,7314874,77358054,16000000,16180604,1038780,42147655,1224000,-,94131.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_033_NorthBranchNorthAR19.pdf,7/2/1997,12/31/2021
North Branch South,034,2019,11685500,113204991,-,2500000,1970139,37406091,1249000,16000000,139135.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_034_NorthBranchSouthAR19.pdf,2/5/1998,2/5/2021
North/Cicero,035,2019,1139902,20861360,-,-,123600,8329874,214000,-,19796.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_035_NorthCiceroAR19.pdf,7/30/1997,7/30/2020
Northwest Industrial Corridor,064,2019,7967342,103803793,-,521583,1002907,21524537,-,180000,100804.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_064_NorthwestAR19.pdf,12/2/1998,12/31/2022
Ohio/Wabash,100,2019,1950018,24242138,-,-,1988062,2027266,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_100_OhioWabashAR19.pdf,6/7/2000,12/31/2024
North Pullman,166,2019,1764587,7123368,-,16680164,1191734,3630723,-,-,16788.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_166_NorthPullmanAR19.pdf,6/30/2009,12/31/2033
Ogden/Pulaski,161,2019,42704,7704175,2370000,3370000,171020,5314551,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_161_OgdenPulaskiAR19.pdf,4/9/2008,12/31/2032
Pershing/King,154,2019,106238,551902,-,7025826,4017,-,277385,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_154_PershingKingAR19.pdf,9/5/2007,12/31/2019
Peterson/Cicero,090,2019,551919,5721971,-,-,11906,3053191,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_090_PetersonCiceroAR19.pdf,2/16/2000,12/31/2024
Peterson/Pulaski,091,2019,904647,14933068,-,-,881187,6776744,191000,-,12715.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_091_PetersonPulaskiAR19.pdf,2/16/2000,12/31/2024
Pilsen Industrial Corridor,053,2019,18085740,182028751,-,-,15292988,50562328,-,-,224802.00,4625173.00,Amalgamated Bank of Chicago,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_053_PilsenAR19.pdf,6/10/1998,12/31/2022
Portage Park,058,2019,3204073,40921311,-,-,2804345,13238560,-,-,37912.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_058_PortageParkAR19.pdf,9/9/1998,9/9/2021
Pratt/Ridge Industrial Park Conservation Area,135,2019,442412,3454312,-,-,7907,2588819,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_135_PrattRidgeAR19.pdf,6/23/2004,12/31/2028
Pulaski Industrial Corridor,069,2019,4296140,49823065,-,3000000,3749800,13568701,-,-,50199.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_069_PulaskiAR19.pdf,6/9/1999,12/31/2023
Randolph/Wells,172,2019,7074511,9205185,-,29632000,4715316,2420453,-,632000,70646.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_172_RandolphWellsAR19.pdf,6/9/2010,12/31/2034
River South,037,2019,31338696,266629624,10000000,102373006,21538218,86803226,-,17000000,366773.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_037_RiverSouthAR19.pdf,7/30/1997,7/30/2020
River West,104,2019,25956969,208044878,-,-,5959068,52791189,33225000,-,286652.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_104_RiverWestAR19.pdf,1/10/2001,12/31/2025
Roosevelt/Cicero Industrial Corridor,038,2019,4110900,40541083,-,-,99353,15301962,530000,2514000,44164.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_038_RooseveltCiceroAR19.pdf,2/5/1998,2/5/2021
Roosevelt/Racine,062,2019,1836077,21635050,10350000,11350000,8546126,9026522,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_062_RooseveltRacineAR19.pdf,11/4/1998,12/31/2034
Roosevelt/Union,068,2019,5608811,66565791,-,-,5300719,8149321,-,-,68260.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_068_RooseveltUnionAR19.pdf,5/12/1999,5/12/2022
Roseland/Michigan,113,2019,398817,7572298,-,-,23609,1374521,-,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_113_RoselandMichiganAR19.pdf,1/16/2002,12/31/2026
Red Purple Modernization Phase One (Transit TIF),180,2019,45522999,70551081,-,-,514703,71128072,-,-,492731.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_180_RPMPhaseOneProjectAR19.pdf,11/30/2016,12/31/2052
Sanitary and Ship Canal,042,2019,686696,16741494,-,-,14936,1942775,-,1280000,10473.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_042_SanitaryDrainageShipCanalAR19.pdf,7/24/1991,12/31/2027
South Chicago,093,2019,1157562,18480519,-,-,917557,7826449,-,-,14943.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_093_SouthChicagoAR19.pdf,4/12/2000,12/31/2024
South Works Industrial,078,2019,0,1461963,-,-,2784,-,1044666,-,,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_078_SouthWorksAR19.pdf,11/3/1999,12/31/2019
Stevenson Brighton,149,2019,4594951,17019294,4500000,6800000,6344226,6793259,-,-,53922.00,,,,,https://www.chicago.gov/content/dam/city/depts/dcd/tif/19reports/T_149_StevensonBrightonAR19.pdf,4/11/2007,12/31/2031
